benchmark,scenario,low_dif_rate,original_random_median,paired_random_median,excess_pp,empirical_upper_p,paired_random_q025,paired_random_q975,all_swapped_rate,low_minus_all_swapped_pp,paired_contrast_two_sided_p,within_low_dif_rate,within_paired_median,within_excess_pp,specificity_excess_pp,specificity_upper_p,matched_anchor_fraction,swappable_weight_fraction,median_control_overlap,n_pairs_total,profile_rms_logit_median_fold_mean,profile_rms_logit_p90_fold_mean,profile_cosine_median_fold_mean,abs_b_difference_median_fold_mean,predicted_probability_rms_median_fold_mean,higher_final_dif_fraction_fold_mean,dif_difference_median_fold_mean,low_mean_audit_residual_dif,control_mean_audit_residual_dif,low_mean_audit_b,control_mean_audit_b,low_mean_audit_discrimination,control_mean_audit_discrimination,low_target_citc,control_target_citc,low_target_independent_item_sem,control_target_independent_item_sem,low_target_weighted_alpha,control_target_weighted_alpha,low_effective_item_count,control_effective_item_count,profile_mean_rms_difference_median,max_axis_smd_median
MMLU-Pro,random_pairing,0.4707792207792208,0.18506493506493507,0.18181818181818182,28.8961038961039,0.000999000999000999,0.13636363636363635,0.24025974025974026,0.4090909090909091,6.1688311688311686,0.1038961038961039,0.26953125,0.1640625,10.546875,18.2224025974026,0.000999000999000999,0.9888184245660881,0.9893953089803982,0.5053404539385847,11850,2.4827801781577303,5.389626961651023,0.20477009160218518,0.665675885666763,0.34705300557854324,0.9813502109704642,0.5067673737080017,0.6367637484796681,0.9091852123141237,-2.0275081262496544,-1.8136132881203046,1.9709506542655832,1.9830368135255743,0.2820274188539713,0.2990248135211301,0.005045488024190263,0.005132564303447908,0.998642731989436,0.9987564731949156,5986.942475303402,5986.942475303402,0.1253937507401082,0.15537077634082422
MMLU-Pro,optimal_unrestricted,0.4707792207792208,0.18506493506493507,0.17532467532467533,29.545454545454547,0.000999000999000999,0.12987012987012986,0.22727272727272727,0.39935064935064934,7.142857142857145,0.06593406593406594,0.26953125,0.15625,11.328125,18.080357142857146,0.000999000999000999,0.9888184245660881,0.9893953089803982,0.5053404539385847,11850,1.9168952067897502,4.29643494712713,0.5474379314686761,0.40907827166495125,0.2679873738470251,0.9824472573839662,0.5115333337340413,0.6367637484796681,0.908296423766999,-2.0275081262496544,-1.8288662349651865,1.9709506542655832,1.9810148115301254,0.2820274188539713,0.2992238831348403,0.005045488024190263,0.005132014987938889,0.998642731989436,0.9987583444907772,5986.942475303402,5986.942475303402,0.1209810928742519,0.1530768031423495
MMLU-Pro,caliper_1.00,0.4707792207792208,0.18506493506493507,0.4642857142857143,0.6493506493506496,0.07192807192807193,0.4512987012987013,0.4707792207792208,0.4577922077922078,1.2987012987012991,0.14385614385614387,0.26953125,0.26953125,0.0,0.7153003246753276,0.1878121878121878,0.0559913217623498,0.05577200558461467,0.9740487316421895,671,0.8806045547403819,0.9817072607923731,0.9239698709188319,0.1967386193644048,0.1219481417940033,0.9810543782730483,0.422596743740373,0.6367637484796681,0.649603325348047,-2.0275081262496544,-2.02852372605761,1.9709506542655832,1.9707237067846757,0.2820274188539713,0.28210269032835295,0.005045488024190263,0.005045768361368776,0.998642731989436,0.9986423157608252,5986.942475303402,5986.942475303402,0.0025010908889193124,0.0026907898004005087
MMLU-Pro,caliper_0.50,0.4707792207792208,0.18506493506493507,0.4707792207792208,0.0,0.955044955044955,0.4675324675324675,0.474025974025974,0.474025974025974,-0.324675324675322,0.8951048951048951,0.26953125,0.26953125,0.0,0.0,0.955044955044955,0.002336448598130841,0.0023343429666152406,0.9989986648865153,28,0.4445323714891214,0.4860631162458148,0.9882115788140691,0.13923564136741817,0.03128637466999687,0.8484848484848485,0.5272065818294296,0.6367637484796681,0.6372648499267513,-2.0275081262496544,-2.0274913136874773,1.9709506542655832,1.9709311557668294,0.2820274188539713,0.2820266339557513,0.005045488024190263,0.005045432842478001,0.998642731989436,0.9986427186657196,5986.942475303402,5986.942475303402,0.00015487829832664163,0.0001935320746597264
MMLU-Pro,caliper_0.25,0.4707792207792208,0.18506493506493507,0.4707792207792208,0.0,1.0,0.4707792207792208,0.4707792207792208,0.4707792207792208,0.0,1.0,0.26953125,0.26953125,0.0,0.0,1.0,0.00041722296395193593,0.0004193363152804642,0.9998331108144193,5,0.0,0.034863834775682605,1.0,0.0,0.0,0.125,0.0,0.6367637484796681,0.6367637484796682,-2.0275081262496544,-2.0275081262496544,1.9709506542655832,1.9709506542655832,0.2820274188539713,0.2820274188539713,0.005045488024190263,0.005045488024190263,0.998642731989436,0.998642731989436,5986.942475303402,5986.942475303402,0.0,0.0
BBH,random_pairing,0.42138364779874216,0.252470799640611,0.25471698113207547,16.666666666666668,0.000999000999000999,0.2250561545372866,0.2857142857142857,0.3746630727762803,4.672057502246185,0.004995004995004995,0.33169834457388103,0.2299202942979767,10.177805027590434,6.636646884845124,0.000999000999000999,0.984488107549121,0.9846272348550599,0.5074112375043088,5712,2.3215023877777394,3.5917846269757194,0.3255514685437052,0.4488256196425956,0.35680991374509974,0.9840686274509804,0.4301311035618196,0.5642525813477044,0.7915744263925224,-0.1502709491390733,-0.1625648655196109,2.013557446645563,1.9886198255232146,0.2365944649002333,0.24243063477710836,0.007980873962588064,0.008027555342222003,0.9946024838430572,0.9948420444107484,2900.731223125791,2900.731223125791,0.06908127277479185,0.08714463481940038
BBH,optimal_unrestricted,0.42138364779874216,0.252470799640611,0.22911051212938005,19.22731356693621,0.000999000999000999,0.20440251572327045,0.2592093441150045,0.3683737646001797,5.300988319856248,0.002997002997002997,0.33169834457388103,0.20907418761496016,12.262415695892088,6.982539554002834,0.000999000999000999,0.984488107549121,0.9846272348550599,0.5074112375043088,5712,1.6861232815349272,2.9093578671932363,0.6400385616444149,0.24839847717172853,0.259788099692552,0.9851190476190477,0.4283713925023722,0.5642525813477044,0.7912548072933447,-0.1502709491390733,-0.16901076244686716,2.013557446645563,1.989652763456688,0.2365944649002333,0.24139919385313136,0.007980873962588064,0.008022341529434603,0.9946024838430572,0.9948037614839369,2900.731223125791,2900.731223125791,0.06638129698658607,0.0838160160716289
BBH,caliper_1.00,0.42138364779874216,0.252470799640611,0.417340521114106,0.40431266846361336,0.055944055944055944,0.4119496855345912,0.42183288409703507,0.4119496855345912,0.9433962264150941,0.027972027972027972,0.33169834457388103,0.32495401594114043,0.6744328632740604,-0.23734329751011196,0.7112887112887113,0.07600827300930714,0.07617341944878397,0.9620820406756291,441,0.9029365021381082,0.9817996198546,0.9006009535590386,0.15035506875760066,0.14645241490498676,0.9911742846525455,0.3053635850477864,0.5642525813477044,0.5771706177783615,-0.1502709491390733,-0.15106779598397319,2.013557446645563,2.0126372832906068,0.2365944649002333,0.2363972964726711,0.007980873962588064,0.007982039496355115,0.9946024838430572,0.9945919966006774,2900.731223125791,2900.731223125791,0.0037816718051845583,0.007072598714045326
BBH,caliper_0.50,0.42138364779874216,0.252470799640611,0.42138364779874216,0.0,0.6113886113886113,0.42048517520215634,0.4222821203953279,0.42093441150044925,0.04492362982929099,0.8151848151848152,0.33169834457388103,0.3298589822194972,0.1839362354383811,-0.13901260560909012,0.8841158841158842,0.001034126163391934,0.0010342533125036163,0.9996552912788693,6,0.4473582096913696,0.4776459982233566,0.9742912889860744,0.08362445806900581,0.069257789755935,0.875,0.1981588523611128,0.5642525813477044,0.5643623278966948,-0.1502709491390733,-0.15024300688668618,2.013557446645563,2.0135513825689424,0.2365944649002333,0.23658903105978712,0.007980873962588064,0.00798082194141354,0.9946024838430572,0.9946021298049668,2900.731223125791,2900.731223125791,0.0001699196234284742,0.0004662694919260931
BBH,caliper_0.25,0.42138364779874216,0.252470799640611,0.42138364779874216,0.0,1.0,0.42138364779874216,0.42138364779874216,0.42138364779874216,0.0,1.0,0.33169834457388103,0.33169834457388103,0.0,0.0,1.0,0.0,0.0,1.0,0,,,,,,,,0.5642525813477044,0.5642525813477044,-0.1502709491390733,-0.1502709491390733,2.013557446645563,2.013557446645563,0.2365944649002333,0.2365944649002333,0.007980873962588064,0.007980873962588064,0.9946024838430572,0.9946024838430572,2900.731223125791,2900.731223125791,0.0,0.0
