annotator,axis,n_stable_direction_items,stratified_statistic,permutation_p,maximum_family,minimum_family,standardized_prevalence_range,bh_q,dual_annotator_exploratory_signal
annotator_a,quantitative_symbolic,158,25.25469076378167,0.12138786121387861,gemma,llama,0.2333333333333333,0.40462620404626204,False
annotator_a,formal_rule_reasoning,158,19.143608563760367,0.5157484251574842,gemma,llama,0.3066666666666666,0.6446855314468553,False
annotator_a,factual_domain_knowledge,158,13.615903778036133,0.818018198180182,gemma,llama,0.16666666666666663,0.818018198180182,False
annotator_a,contextual_reading,158,15.266257574755112,0.22657734226577342,llama,phi,0.16969696969696968,0.4531546845315468,False
annotator_a,commonsense_narrative,158,5.002597402597404,0.3214678532146785,qwen,gemma,0.08571428571428574,0.45923979030668366,False
annotator_a,spatial_temporal,158,35.023579295927966,0.011898810118988102,gemma,phi,0.4368181818181818,0.11898810118988101,False
annotator_a,linguistic_wordplay,158,2.863636363636364,0.5964403559644036,phi,gemma,0.03636363636363636,0.6627115066271151,False
annotator_a,negation_exception,158,34.07238619776214,0.08039196080391961,qwen,gemma,0.22142857142857142,0.4019598040195981,False
annotator_a,code_structured_representation,158,18.83076209504781,0.2832716728327167,gemma,qwen,0.1547619047619047,0.45923979030668366,False
annotator_a,distractor_discrimination,158,20.357753318053426,0.19988001199880012,gemma,llama,0.20000000000000007,0.4531546845315468,False
annotator_b,quantitative_symbolic,158,16.40173715173715,0.17888211178882113,qwen,gemma,0.2,0.5962737059627371,False
annotator_b,formal_rule_reasoning,158,11.078565878565879,0.5698430156984302,gemma,phi,0.26363636363636356,0.695708206957082,False
annotator_b,factual_domain_knowledge,158,28.220791559289093,0.07429257074292571,gemma,qwen,0.17619047619047623,0.5962737059627371,False
annotator_b,contextual_reading,158,12.21979753314988,0.46455354464553544,gemma,phi,0.2721212121212123,0.6636479209221935,False
annotator_b,commonsense_narrative,158,5.957142857142859,0.6261373862613738,qwen,mistral,0.10389610389610393,0.695708206957082,False
annotator_b,spatial_temporal,158,26.89494505840468,0.1377862213778622,gemma,phi,0.2701515151515152,0.5962737059627371,False
annotator_b,linguistic_wordplay,158,10.222366675712657,0.24697530246975302,phi,gemma,0.12045454545454545,0.6174382561743825,False
annotator_b,negation_exception,158,15.879945077383468,0.4410558944105589,qwen,gemma,0.18095238095238092,0.6636479209221935,False
annotator_b,code_structured_representation,158,8.602070241586368,0.7539246075392461,phi,gemma,0.08727272727272725,0.7539246075392461,False
annotator_b,distractor_discrimination,158,22.542191191110284,0.3354664533546645,gemma,phi,0.1337012987012987,0.6636479209221935,False
