annotator,axis,stable_high_rate,matched_control_rate,paired_difference,discordant_high_only,discordant_control_only,mcnemar_exact_p,benchmarks_same_direction,MMLU_Pro_difference,MMLU_difference,HellaSwag_difference,WinoGrande_difference,BBH_difference,bh_q,replicated_confirmatory_axis
annotator_a,quantitative_symbolic,0.152,0.152,0.0,11,11,1.0,1,-0.020000000000000018,0.01999999999999999,-0.019999999999999997,0.0,0.020000000000000004,1.0,False
annotator_a,formal_rule_reasoning,0.312,0.348,-0.035999999999999976,8,17,0.10775214433670044,3,0.020000000000000018,-0.06,-0.07999999999999999,0.0,-0.06000000000000005,0.35917381445566815,False
annotator_a,factual_domain_knowledge,0.46,0.444,0.016000000000000014,16,12,0.5715881884098053,3,0.039999999999999925,-0.019999999999999907,0.060000000000000026,0.02,-0.01999999999999999,0.9526469806830088,False
annotator_a,contextual_reading,0.688,0.72,-0.03200000000000003,9,17,0.16863754391670227,2,-0.13999999999999996,-0.020000000000000018,0.0,0.0,0.0,0.4215938597917557,False
annotator_a,commonsense_narrative,0.436,0.44,-0.0040000000000000036,2,3,1.0,2,-0.02,0.0,-0.020000000000000018,0.0,0.020000000000000018,1.0,False
annotator_a,spatial_temporal,0.36,0.456,-0.09600000000000003,29,53,0.010637487878147722,3,-0.18,0.0,-0.15999999999999992,-0.14,0.0,0.10637487878147722,False
annotator_a,linguistic_wordplay,0.024,0.028,-0.004,1,2,1.0,1,0.0,0.0,0.0,-0.02,0.0,1.0,False
annotator_a,negation_exception,0.124,0.184,-0.06,19,34,0.053438810537711046,4,-0.09999999999999999,-0.13999999999999999,-0.020000000000000004,0.01999999999999999,-0.060000000000000026,0.26719405268855523,False
annotator_a,code_structured_representation,0.296,0.292,0.0040000000000000036,38,37,1.0,2,0.09999999999999998,-0.01999999999999999,0.020000000000000018,0.0,-0.08000000000000002,1.0,False
annotator_a,distractor_discrimination,0.848,0.872,-0.02400000000000002,10,16,0.32693958282470703,3,0.0,-0.040000000000000036,0.020000000000000018,-0.039999999999999925,-0.05999999999999994,0.6538791656494141,False
annotator_b,quantitative_symbolic,0.112,0.1,0.011999999999999997,9,6,0.6072387695312499,3,0.06,-0.039999999999999994,0.02,0.0,0.02,0.9021585000966994,False
annotator_b,formal_rule_reasoning,0.272,0.296,-0.023999999999999966,7,13,0.26317596435546875,4,0.019999999999999962,-0.06,-0.039999999999999994,-0.02,-0.020000000000000018,0.9021585000966994,False
annotator_b,factual_domain_knowledge,0.416,0.404,0.011999999999999955,11,8,0.6476058959960938,1,0.0,-0.020000000000000018,0.08,0.0,0.0,0.9021585000966994,False
annotator_b,contextual_reading,0.684,0.696,-0.0119999999999999,11,14,0.6900379657745361,1,-0.08000000000000002,0.020000000000000018,0.0,0.0,0.0,0.9021585000966994,False
annotator_b,commonsense_narrative,0.416,0.424,-0.008000000000000007,6,8,0.79052734375,3,-0.02,-0.02,-0.020000000000000018,0.0,0.020000000000000018,0.9021585000966994,False
annotator_b,spatial_temporal,0.28,0.288,-0.007999999999999952,32,34,0.9021585000966994,2,-0.020000000000000018,-0.020000000000000018,0.0,0.0,0.0,0.9021585000966994,False
annotator_b,linguistic_wordplay,0.06,0.068,-0.008000000000000007,7,9,0.803619384765625,1,0.0,0.0,0.0,-0.08000000000000002,0.03999999999999998,0.9021585000966994,False
annotator_b,negation_exception,0.076,0.1,-0.024000000000000007,14,20,0.39152830513194203,3,0.0,-0.09999999999999999,0.02,-0.020000000000000018,-0.01999999999999999,0.9021585000966994,False
annotator_b,code_structured_representation,0.18,0.188,-0.008000000000000007,23,25,0.8854334972865135,1,0.06,-0.12,0.019999999999999907,0.0,0.0,0.9021585000966994,False
annotator_b,distractor_discrimination,0.584,0.544,0.039999999999999925,50,40,0.3428331194207882,3,0.09999999999999998,-0.05999999999999994,0.18,-0.040000000000000036,0.020000000000000018,0.9021585000966994,False
