benchmark_direct,audit_half,dimension,mean_log_loss_direct,se_across_validation_models_direct,n_fit_models_direct,n_validation_models_direct,n_calibration_items_direct,n_evaluation_items_direct,one_se_threshold_direct,selected_direct,benchmark_spectral,mean_log_loss_spectral,se_across_validation_models_spectral,n_fit_models_spectral,n_validation_models_spectral,n_calibration_items_spectral,n_evaluation_items_spectral,one_se_threshold_spectral,selected_spectral,benchmark
MMLU-Pro,discovery,1,0.3826530526140239,0.005699074491435,148,60,6022,6010,0.2760150733612543,False,MMLU-Pro,0.3984442204711082,0.0049527589275456,148,60,6022,6010,0.3021744870019145,False,MMLU-Pro
MMLU-Pro,discovery,2,0.3628440618382405,0.0086407842198476,148,60,6022,6010,0.2760150733612543,False,MMLU-Pro,0.3818360946730908,0.0071793498371832,148,60,6022,6010,0.3021744870019145,False,MMLU-Pro
MMLU-Pro,discovery,4,0.3345745590263044,0.0107465358914212,148,60,6022,6010,0.2760150733612543,False,MMLU-Pro,0.3657324055646261,0.0094665458141356,148,60,6022,6010,0.3021744870019145,False,MMLU-Pro
MMLU-Pro,discovery,8,0.3075464750133306,0.0116864900367382,148,60,6022,6010,0.2760150733612543,False,MMLU-Pro,0.3388015811622828,0.0105120025294952,148,60,6022,6010,0.3021744870019145,False,MMLU-Pro
MMLU-Pro,discovery,16,0.287376252490117,0.0116735014492336,148,60,6022,6010,0.2760150733612543,False,MMLU-Pro,0.3219169030721475,0.0105726360171258,148,60,6022,6010,0.3021744870019145,False,MMLU-Pro
MMLU-Pro,discovery,32,0.2729998929905032,0.0114737437675441,148,60,6022,6010,0.2760150733612543,True,MMLU-Pro,0.307341367505494,0.0104595109315262,148,60,6022,6010,0.3021744870019145,False,MMLU-Pro
MMLU-Pro,discovery,64,0.2665763768842711,0.0115671155460743,148,60,6022,6010,0.2760150733612543,False,MMLU-Pro,0.2973257368959652,0.0103523438950133,148,60,6022,6010,0.3021744870019145,True,MMLU-Pro
MMLU-Pro,discovery,128,0.2642765290888819,0.0117385442723724,148,60,6022,6010,0.2760150733612543,False,MMLU-Pro,0.2906527580619362,0.0115217289399783,148,60,6022,6010,0.3021744870019145,False,MMLU-Pro
MMLU-Pro,validation,1,0.3720563237433371,0.0080095723966725,161,47,6022,6010,0.2718769058305161,False,MMLU-Pro,0.3862401474410521,0.0062630146261839,161,47,6022,6010,0.2978221286125926,False,MMLU-Pro
MMLU-Pro,validation,2,0.3519659050774428,0.0098095191350063,161,47,6022,6010,0.2718769058305161,False,MMLU-Pro,0.3687064606671119,0.0074436551640982,161,47,6022,6010,0.2978221286125926,False,MMLU-Pro
MMLU-Pro,validation,4,0.3224168652745318,0.0131719427092026,161,47,6022,6010,0.2718769058305161,False,MMLU-Pro,0.3412076086959125,0.0117140174197087,161,47,6022,6010,0.2978221286125926,False,MMLU-Pro
MMLU-Pro,validation,8,0.294152581634708,0.013743614180859,161,47,6022,6010,0.2718769058305161,False,MMLU-Pro,0.3210693075720512,0.0116065008289493,161,47,6022,6010,0.2978221286125926,False,MMLU-Pro
MMLU-Pro,validation,16,0.2738616781582632,0.0135263600415081,161,47,6022,6010,0.2718769058305161,False,MMLU-Pro,0.3063412220358405,0.0119591802674493,161,47,6022,6010,0.2978221286125926,False,MMLU-Pro
MMLU-Pro,validation,32,0.2647081357251311,0.0134594893523789,161,47,6022,6010,0.2718769058305161,True,MMLU-Pro,0.2948112518442988,0.0117031467263394,161,47,6022,6010,0.2978221286125926,True,MMLU-Pro
MMLU-Pro,validation,64,0.2605734444997861,0.0136005694902048,161,47,6022,6010,0.2718769058305161,False,MMLU-Pro,0.290735064982796,0.0118270488885239,161,47,6022,6010,0.2978221286125926,False,MMLU-Pro
MMLU-Pro,validation,128,0.2582408066480633,0.0136360991824528,161,47,6022,6010,0.2718769058305161,False,MMLU-Pro,0.2850491069133541,0.0127730216992384,161,47,6022,6010,0.2978221286125926,False,MMLU-Pro
BBH,discovery,1,0.4734430447284677,0.0055787118013957,362,173,2881,2880,0.2879768157009883,False,BBH,0.4862530180438371,0.0046943512986589,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,discovery,2,0.4502322356350907,0.0065988959100292,362,173,2881,2880,0.2879768157009883,False,BBH,0.4619889701810416,0.0062076145472933,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,discovery,4,0.4115718858182389,0.0064570218151975,362,173,2881,2880,0.2879768157009883,False,BBH,0.429514556468574,0.0056745391690023,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,discovery,8,0.3714514476493893,0.0068205267485111,362,173,2881,2880,0.2879768157009883,False,BBH,0.3957246062504509,0.006343367309968,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,discovery,16,0.3316828790546294,0.0071010206839196,362,173,2881,2880,0.2879768157009883,False,BBH,0.3602503053643855,0.0064972400992525,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,discovery,32,0.302613807288109,0.0067295309712173,362,173,2881,2880,0.2879768157009883,False,BBH,0.3323534343979755,0.0062333809709993,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,discovery,64,0.2887815704481732,0.0066207978626745,362,173,2881,2880,0.2879768157009883,False,BBH,0.316171686414649,0.0061886078898123,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,discovery,128,0.2829615525008592,0.0065938161563217,362,173,2881,2880,0.2879768157009883,True,BBH,0.3088152222024061,0.0062696392517477,362,173,2881,2880,0.3150848614541539,True,BBH
BBH,discovery,256,0.2813904816966937,0.0065863340042946,362,173,2881,2880,0.2879768157009883,False,BBH,0.3089117206759983,0.0066663338448456,362,173,2881,2880,0.3150848614541539,False,BBH
BBH,validation,1,0.4753506673066814,0.0061495522351329,417,119,2881,2880,0.3127191560130519,False,BBH,0.4816252508846219,0.0053868095607587,417,119,2881,2880,0.3370908958493022,False,BBH
BBH,validation,2,0.4500444455180407,0.0074448736927122,417,119,2881,2880,0.3127191560130519,False,BBH,0.4587973220035863,0.0067418745363871,417,119,2881,2880,0.3370908958493022,False,BBH
BBH,validation,4,0.4184200699871593,0.0066973634350364,417,119,2881,2880,0.3127191560130519,False,BBH,0.4350773283475002,0.0062018877013187,417,119,2881,2880,0.3370908958493022,False,BBH
BBH,validation,8,0.3841268276192793,0.0069645790510073,417,119,2881,2880,0.3127191560130519,False,BBH,0.4047183501876163,0.0066058669977141,417,119,2881,2880,0.3370908958493022,False,BBH
BBH,validation,16,0.3507399119633628,0.0076319068585829,417,119,2881,2880,0.3127191560130519,False,BBH,0.3745354727400803,0.0070286938635823,417,119,2881,2880,0.3370908958493022,False,BBH
BBH,validation,32,0.3266264807816588,0.0075830119489289,417,119,2881,2880,0.3127191560130519,False,BBH,0.3527196997152108,0.0069013364872752,417,119,2881,2880,0.3370908958493022,False,BBH
BBH,validation,64,0.3129577961957955,0.0074608398037049,417,119,2881,2880,0.3127191560130519,False,BBH,0.3373993447966306,0.00690618122257,417,119,2881,2880,0.3370908958493022,False,BBH
BBH,validation,128,0.3070241897850357,0.0075120243444109,417,119,2881,2880,0.3127191560130519,True,BBH,0.3300010693794238,0.0071782770213451,417,119,2881,2880,0.3370908958493022,True,BBH
BBH,validation,256,0.3051887877930421,0.0075303682200097,417,119,2881,2880,0.3127191560130519,False,BBH,0.3292499599028799,0.0078409359464223,417,119,2881,2880,0.3370908958493022,False,BBH
MMLU,discovery,1,0.3697326631870575,0.0078919868412399,544,149,7022,7020,0.235081709063356,False,MMLU,0.3955249759559165,0.0075605379425025,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,discovery,2,0.3420823022851132,0.0090928462629517,544,149,7022,7020,0.235081709063356,False,MMLU,0.3788877291574448,0.0073842074415067,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,discovery,4,0.3125520398895817,0.0096658617664018,544,149,7022,7020,0.235081709063356,False,MMLU,0.3383461245596953,0.0092002718815805,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,discovery,8,0.2798447387189209,0.0095491725166127,544,149,7022,7020,0.235081709063356,False,MMLU,0.3138306347226012,0.0089173842082737,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,discovery,16,0.250440710788721,0.0093618248393081,544,149,7022,7020,0.235081709063356,False,MMLU,0.283663485240437,0.0087940210938141,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,discovery,32,0.2384547227548032,0.0091112622615116,544,149,7022,7020,0.235081709063356,False,MMLU,0.2680773351812667,0.0086353319344295,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,discovery,64,0.2307981153381493,0.0089202359700698,544,149,7022,7020,0.235081709063356,True,MMLU,0.2584400676473303,0.0083333840904258,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,discovery,128,0.2274008372556531,0.0089291784498846,544,149,7022,7020,0.235081709063356,False,MMLU,0.2519365572817848,0.0084236943344313,544,149,7022,7020,0.2571382788353937,True,MMLU
MMLU,discovery,256,0.226121338977997,0.008960370085359,544,149,7022,7020,0.235081709063356,False,MMLU,0.2483955498929543,0.0087427289424393,544,149,7022,7020,0.2571382788353937,False,MMLU
MMLU,validation,1,0.4378655724933223,0.0087095207285344,525,170,7022,7020,0.291752778048294,False,MMLU,0.4670702544646238,0.0091744887564872,525,170,7022,7020,0.3110339794532989,False,MMLU
MMLU,validation,2,0.4178416803982039,0.0095696958460399,525,170,7022,7020,0.291752778048294,False,MMLU,0.445640304170797,0.0097359420404547,525,170,7022,7020,0.3110339794532989,False,MMLU
MMLU,validation,4,0.3807147078585274,0.0093824889070074,525,170,7022,7020,0.291752778048294,False,MMLU,0.4112651712586298,0.0100095913956634,525,170,7022,7020,0.3110339794532989,False,MMLU
MMLU,validation,8,0.3441596377012837,0.0091776021909482,525,170,7022,7020,0.291752778048294,False,MMLU,0.3775055518992938,0.0094011525911589,525,170,7022,7020,0.3110339794532989,False,MMLU
MMLU,validation,16,0.314443960943375,0.009128170686791,525,170,7022,7020,0.291752778048294,False,MMLU,0.3462926227104624,0.0094316889646761,525,170,7022,7020,0.3110339794532989,False,MMLU
MMLU,validation,32,0.2960685611934351,0.0089901869056366,525,170,7022,7020,0.291752778048294,False,MMLU,0.3217791978037432,0.0094487783589732,525,170,7022,7020,0.3110339794532989,False,MMLU
MMLU,validation,64,0.2883406940512997,0.0089150848550102,525,170,7022,7020,0.291752778048294,True,MMLU,0.3116658143826563,0.0094169628386745,525,170,7022,7020,0.3110339794532989,False,MMLU
MMLU,validation,128,0.284377312534776,0.0089511687440842,525,170,7022,7020,0.291752778048294,False,MMLU,0.3061720868589729,0.0095344974120867,525,170,7022,7020,0.3110339794532989,True,MMLU
MMLU,validation,256,0.2827592178428275,0.0089935602054665,525,170,7022,7020,0.291752778048294,False,MMLU,0.301038694349822,0.0099952851034769,525,170,7022,7020,0.3110339794532989,False,MMLU
HellaSwag,discovery,1,0.1578727336555452,0.0083068441622161,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.2093317983217085,0.0104801312097752,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,discovery,2,0.1469781709405288,0.0071115195030632,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.1967032529421715,0.0104590394537083,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,discovery,4,0.1386693085764919,0.0069557326919992,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.176347376281001,0.0087624722718553,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,discovery,8,0.1306259657748691,0.0070026239060516,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.1699713706873828,0.0086290150336041,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,discovery,16,0.1263380233003786,0.0069461595709721,519,175,5021,5021,0.1300423550968771,True,HellaSwag,0.1596014554092639,0.0087885790022158,519,175,5021,5021,0.1616484433574088,True,HellaSwag
HellaSwag,discovery,32,0.1240554531333664,0.0068820385566831,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.1561087405170856,0.0090150519565062,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,discovery,64,0.1232510902314892,0.0068535632797284,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.1530554349352349,0.0093114689933401,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,discovery,128,0.1231924188499134,0.0068540424860952,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.152124238183729,0.0095242051736797,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,discovery,256,0.1231884677522723,0.0068538873446048,519,175,5021,5021,0.1300423550968771,False,HellaSwag,0.1540498548594733,0.0098680799258894,519,175,5021,5021,0.1616484433574088,False,HellaSwag
HellaSwag,validation,1,0.1323322011107285,0.0037043536579988,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.176742570314162,0.0071460047743293,522,172,5021,5021,0.1308995093874259,False,HellaSwag
HellaSwag,validation,2,0.1255390779063387,0.0035523599993001,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.1505111056695504,0.0047594092552223,522,172,5021,5021,0.1308995093874259,False,HellaSwag
HellaSwag,validation,4,0.1175259225478226,0.0037640574573222,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.1518772684559538,0.0046260922782343,522,172,5021,5021,0.1308995093874259,False,HellaSwag
HellaSwag,validation,8,0.1117765084602516,0.0038028507555008,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.1454912628006458,0.0048366904548572,522,172,5021,5021,0.1308995093874259,False,HellaSwag
HellaSwag,validation,16,0.1080288011858233,0.0037650762989227,522,172,5021,5021,0.1082107454399412,True,HellaSwag,0.1382654086594132,0.0048949815633921,522,172,5021,5021,0.1308995093874259,False,HellaSwag
HellaSwag,validation,32,0.1054123790878642,0.0037553934373026,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.1334729992696695,0.0048355500801911,522,172,5021,5021,0.1308995093874259,False,HellaSwag
HellaSwag,validation,64,0.1045567488238336,0.0037570682920809,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.1290096870903275,0.0050088483926472,522,172,5021,5021,0.1308995093874259,True,HellaSwag
HellaSwag,validation,128,0.1044575831424858,0.0037578539371773,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.1256148363116555,0.0052846730757703,522,172,5021,5021,0.1308995093874259,False,HellaSwag
HellaSwag,validation,256,0.1044529246805186,0.0037578207594226,522,172,5021,5021,0.1082107454399412,False,HellaSwag,0.1269173891961989,0.0058282291429967,522,172,5021,5021,0.1308995093874259,False,HellaSwag
WinoGrande,discovery,1,0.3555515763709714,0.0123574977258982,517,177,634,633,0.2816461532618344,False,WinoGrande,0.4231039687253686,0.0196508196156295,517,177,634,633,0.3502227766415526,False,WinoGrande
WinoGrande,discovery,2,0.3399497598739636,0.0118802921630589,517,177,634,633,0.2816461532618344,False,WinoGrande,0.3915608761383903,0.0186782141469061,517,177,634,633,0.3502227766415526,False,WinoGrande
WinoGrande,discovery,4,0.3094219057870644,0.0124672031062967,517,177,634,633,0.2816461532618344,False,WinoGrande,0.3695626095215393,0.0188194607418618,517,177,634,633,0.3502227766415526,False,WinoGrande
WinoGrande,discovery,8,0.2896692089604689,0.0126052848584239,517,177,634,633,0.2816461532618344,False,WinoGrande,0.3498609721262274,0.0187883342348041,517,177,634,633,0.3502227766415526,True,WinoGrande
WinoGrande,discovery,16,0.2768409249323832,0.0128096608327023,517,177,634,633,0.2816461532618344,True,WinoGrande,0.3333986300930572,0.0189882288739726,517,177,634,633,0.3502227766415526,False,WinoGrande
WinoGrande,discovery,32,0.2692630817753498,0.0128879827815957,517,177,634,633,0.2816461532618344,False,WinoGrande,0.3306730821091129,0.0195496945324397,517,177,634,633,0.3502227766415526,False,WinoGrande
WinoGrande,discovery,64,0.2693078905057589,0.0133474640747674,517,177,634,633,0.2816461532618344,False,WinoGrande,0.3367111859607004,0.0209736518567803,517,177,634,633,0.3502227766415526,False,WinoGrande
