benchmark,audit_half,target_half,control_type,kendall_tau_b,all_eligible_pairs,all_flips,all_flip_rate,cross_family_eligible_pairs,cross_family_flips,cross_family_flip_rate,close_cross_family_eligible_pairs,close_cross_family_flips,close_cross_family_flip_rate,mean_spectral_discrimination,mean_corrected_item_total_correlation,heldout_independent_item_score_sem,weighted_cronbach_alpha,effective_item_count,n_selected_items
MMLU-Pro,discovery,validation,low_dif,0.9169910624131825,4722,195,0.041296060991105464,3449,169,0.048999710060887214,150,65,0.43333333333333335,2.019504850463672,0.28317299350712005,0.005037364282052974,0.998655432485716,5986.942475303402,5992
MMLU-Pro,validation,discovery,low_dif,0.9301824100809529,5529,191,0.03454512570085006,4021,144,0.035811987067893555,158,80,0.5063291139240507,1.922396458067495,0.28088184420082263,0.005053611766327553,0.998630031493156,5986.942475303402,5992
BBH,discovery,validation,low_dif,0.8999696372195469,27866,1389,0.049845690088279625,19886,1019,0.0512420798551745,1074,477,0.4441340782122905,2.01641709890489,0.23094044379326178,0.00793223121743346,0.9943337751866116,2900.731223125791,2901
BBH,validation,discovery,low_dif,0.9306298609548971,33532,1157,0.034504354049862816,24493,852,0.034785448903768425,1152,461,0.4001736111111111,2.0106977943862363,0.24224848600720483,0.008029516707742669,0.9948711924995026,2900.731223125791,2901
MMLU,discovery,validation,low_dif,0.9198307084739337,56853,2274,0.03999788929344098,35998,1542,0.04283571309517195,1879,749,0.39861628525811604,2.0254912849097177,0.3098842838723344,0.004940353630046159,0.9987230843508912,7002.330057512707,7004
MMLU,validation,discovery,low_dif,0.9402076344573238,55829,1666,0.029841121997528166,35291,1132,0.032076166728060976,1356,567,0.41814159292035397,2.0005007834899513,0.32184966550843025,0.005017197478902451,0.9988113592813571,7002.330057512706,7004
HellaSwag,discovery,validation,low_dif,0.9497135722581769,55492,1383,0.024922511352987817,35061,773,0.022047289010581558,2265,657,0.2900662251655629,1.2421569245118493,0.2911713460296851,0.0034857272347448313,0.9986145618185612,5021.99980095543,5022
HellaSwag,validation,discovery,low_dif,0.9469374358622349,57173,1506,0.026341105067077118,36222,979,0.027027773176522555,2268,745,0.32848324514991184,1.112612663335617,0.31752484202656617,0.003557269559851619,0.9987424346529928,5021.999800955429,5022
WinoGrande,discovery,validation,low_dif,0.8983406800468725,55456,2728,0.049192152336987885,35100,1583,0.0450997150997151,2802,966,0.34475374732334046,1.4826098767986347,0.2683952926732479,0.01492110988618104,0.9711550983209005,631.9988189064669,632
WinoGrande,validation,discovery,low_dif,0.9009468803796935,56445,2702,0.04786960758260253,35832,1428,0.039852645679839246,2772,919,0.3315295815295815,1.497339754624819,0.2611036873018384,0.014594429519467097,0.9693575777538638,631.9988189064669,632
