benchmark,gap_points,eligible_pairs,flips,observed_flip_rate,bootstrap_ci_low,bootstrap_median,bootstrap_ci_high,random_ci_low,random_median,random_ci_high,one_sided_randomization_p,excess_flip_rate
BBH,0.25,558,274,0.4910394265232975,0.16173783143577597,0.2867132867132867,0.4528013145391194,0.37992831541218636,0.4229390681003584,0.460573476702509,0.000999000999000999,0.0681003584229391
BBH,0.5,1099,512,0.4658780709736124,0.1615762694125319,0.28385056215244897,0.44456207818193877,0.32666060054595086,0.36032757051865333,0.39308462238398545,0.000999000999000999,0.10555050045495906
BBH,1.0,2226,938,0.42138364779874216,0.1653966831017481,0.28140369072562554,0.42891431135038116,0.22371967654986524,0.252470799640611,0.2857142857142857,0.000999000999000999,0.16891284815813118
BBH,2.0,4327,1467,0.3390339727293737,0.16092126529669823,0.2629693669821358,0.39050537181743566,0.12294892535243818,0.14120637855327017,0.16547261382019876,0.000999000999000999,0.19782759417610352
BBH,3.0,6385,1720,0.26938136256851997,0.154207467648525,0.23673917024606267,0.34283824923297346,0.08347298355520752,0.09569303054032889,0.11276429130775255,0.000999000999000999,0.17368833202819106
BBH,5.0,10313,1861,0.18045185687966644,0.13324615888782204,0.18378035009824764,0.2678057191600996,0.05167991854940367,0.05924561233394744,0.06981479685833414,0.000999000999000999,0.121206244545719
HellaSwag,0.25,1169,509,0.4354148845166809,0.298050251649993,0.38820003158531985,0.48258545013750165,0.29245283018867924,0.3281919451585261,0.3604588828702673,0.000999000999000999,0.1072229393581548
HellaSwag,0.5,2347,922,0.3928419258628036,0.3088047639302425,0.368936170212766,0.430409672614673,0.18363868768640818,0.21133361738389433,0.24189711995270993,0.000999000999000999,0.18150830847890925
HellaSwag,1.0,4533,1402,0.30928744760644167,0.2774924409124729,0.3091451187476716,0.34304149838163445,0.09794286344584162,0.11409025847827159,0.13261253309797,0.000999000999000999,0.19519718912817008
HellaSwag,2.0,9016,1713,0.1899955634427684,0.17849991415177277,0.1997004499405255,0.22334559300213364,0.04923209137280994,0.05734568261218978,0.06676278141288677,0.000999000999000999,0.13264988083057863
HellaSwag,3.0,14076,1748,0.12418300653594772,0.11822150762412151,0.13191927647113355,0.14784661075818237,0.03153679499928967,0.03673048919415889,0.04276479363500746,0.000999000999000999,0.08745251734178883
HellaSwag,5.0,23777,1752,0.07368465323632081,0.07021655062407767,0.07837900476162421,0.08797382676780692,0.01867088607594937,0.021744159158355134,0.025317520397005636,0.000999000999000999,0.05194049407796568
MMLU,0.25,829,398,0.48009650180940894,0.27694324684656607,0.4234938648481127,0.562292075233963,0.33775633293124246,0.37997587454764775,0.4258443908323281,0.000999000999000999,0.10012062726176119
MMLU,0.5,1588,735,0.4628463476070529,0.28309976388471775,0.41619433857457044,0.5411973338335702,0.25188144649982325,0.28809823677581864,0.33816120906801006,0.000999000999000999,0.17474811083123426
MMLU,1.0,3235,1316,0.40680061823802166,0.2849612403100775,0.3820207438959109,0.4723049551432817,0.13910227445153872,0.16321483771251932,0.20618421587975663,0.000999000999000999,0.24358578052550234
MMLU,2.0,6832,2163,0.3165983606557377,0.24930003045886637,0.302460071759062,0.3468131868131868,0.0660128805620609,0.0780152224824356,0.09938890515222482,0.000999000999000999,0.23858313817330212
MMLU,3.0,10531,2543,0.24147754249359035,0.20243191687102668,0.23757011337435663,0.2686864849463387,0.04282594245560725,0.050612477447535845,0.064478681986516,0.000999000999000999,0.1908650650460545
