replicate,gap,gap_points,eligible_pairs,flips,flip_rate,benchmark,audit_half,target_half
0,0.0025,0.25,41,13,0.3170731707317073,MMLU-Pro,discovery,validation
0,0.005,0.5,89,24,0.2696629213483146,MMLU-Pro,discovery,validation
0,0.01,1.0,150,27,0.18,MMLU-Pro,discovery,validation
0,0.02,2.0,262,27,0.10305343511450382,MMLU-Pro,discovery,validation
0,0.03,3.0,360,27,0.075,MMLU-Pro,discovery,validation
0,0.05,5.0,593,27,0.045531197301854974,MMLU-Pro,discovery,validation
1,0.0025,0.25,41,16,0.3902439024390244,MMLU-Pro,discovery,validation
1,0.005,0.5,89,24,0.2696629213483146,MMLU-Pro,discovery,validation
1,0.01,1.0,150,27,0.18,MMLU-Pro,discovery,validation
1,0.02,2.0,262,27,0.10305343511450382,MMLU-Pro,discovery,validation
1,0.03,3.0,360,27,0.075,MMLU-Pro,discovery,validation
1,0.05,5.0,593,27,0.045531197301854974,MMLU-Pro,discovery,validation
2,0.0025,0.25,41,15,0.36585365853658536,MMLU-Pro,discovery,validation
2,0.005,0.5,89,32,0.3595505617977528,MMLU-Pro,discovery,validation
2,0.01,1.0,150,37,0.24666666666666667,MMLU-Pro,discovery,validation
2,0.02,2.0,262,39,0.14885496183206107,MMLU-Pro,discovery,validation
2,0.03,3.0,360,39,0.10833333333333334,MMLU-Pro,discovery,validation
2,0.05,5.0,593,39,0.0657672849915683,MMLU-Pro,discovery,validation
3,0.0025,0.25,41,18,0.43902439024390244,MMLU-Pro,discovery,validation
3,0.005,0.5,89,28,0.3146067415730337,MMLU-Pro,discovery,validation
3,0.01,1.0,150,33,0.22,MMLU-Pro,discovery,validation
3,0.02,2.0,262,35,0.13358778625954199,MMLU-Pro,discovery,validation
3,0.03,3.0,360,35,0.09722222222222222,MMLU-Pro,discovery,validation
3,0.05,5.0,593,35,0.05902192242833052,MMLU-Pro,discovery,validation
4,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
4,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
4,0.01,1.0,150,25,0.16666666666666666,MMLU-Pro,discovery,validation
4,0.02,2.0,262,25,0.09541984732824428,MMLU-Pro,discovery,validation
4,0.03,3.0,360,25,0.06944444444444445,MMLU-Pro,discovery,validation
4,0.05,5.0,593,25,0.04215851602023609,MMLU-Pro,discovery,validation
5,0.0025,0.25,41,16,0.3902439024390244,MMLU-Pro,discovery,validation
5,0.005,0.5,89,21,0.23595505617977527,MMLU-Pro,discovery,validation
5,0.01,1.0,150,21,0.14,MMLU-Pro,discovery,validation
5,0.02,2.0,262,21,0.08015267175572519,MMLU-Pro,discovery,validation
5,0.03,3.0,360,21,0.058333333333333334,MMLU-Pro,discovery,validation
5,0.05,5.0,593,21,0.03541315345699832,MMLU-Pro,discovery,validation
6,0.0025,0.25,41,13,0.3170731707317073,MMLU-Pro,discovery,validation
6,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
6,0.01,1.0,150,27,0.18,MMLU-Pro,discovery,validation
6,0.02,2.0,262,27,0.10305343511450382,MMLU-Pro,discovery,validation
6,0.03,3.0,360,27,0.075,MMLU-Pro,discovery,validation
6,0.05,5.0,593,27,0.045531197301854974,MMLU-Pro,discovery,validation
7,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
7,0.005,0.5,89,23,0.25842696629213485,MMLU-Pro,discovery,validation
7,0.01,1.0,150,24,0.16,MMLU-Pro,discovery,validation
7,0.02,2.0,262,24,0.0916030534351145,MMLU-Pro,discovery,validation
7,0.03,3.0,360,24,0.06666666666666667,MMLU-Pro,discovery,validation
7,0.05,5.0,593,24,0.04047217537942664,MMLU-Pro,discovery,validation
8,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
8,0.005,0.5,89,19,0.21348314606741572,MMLU-Pro,discovery,validation
8,0.01,1.0,150,20,0.13333333333333333,MMLU-Pro,discovery,validation
8,0.02,2.0,262,21,0.08015267175572519,MMLU-Pro,discovery,validation
8,0.03,3.0,360,21,0.058333333333333334,MMLU-Pro,discovery,validation
8,0.05,5.0,593,21,0.03541315345699832,MMLU-Pro,discovery,validation
9,0.0025,0.25,41,19,0.4634146341463415,MMLU-Pro,discovery,validation
9,0.005,0.5,89,26,0.29213483146067415,MMLU-Pro,discovery,validation
9,0.01,1.0,150,29,0.19333333333333333,MMLU-Pro,discovery,validation
9,0.02,2.0,262,29,0.11068702290076336,MMLU-Pro,discovery,validation
9,0.03,3.0,360,29,0.08055555555555556,MMLU-Pro,discovery,validation
9,0.05,5.0,593,29,0.048903878583473864,MMLU-Pro,discovery,validation
10,0.0025,0.25,41,20,0.4878048780487805,MMLU-Pro,discovery,validation
10,0.005,0.5,89,34,0.38202247191011235,MMLU-Pro,discovery,validation
10,0.01,1.0,150,39,0.26,MMLU-Pro,discovery,validation
10,0.02,2.0,262,40,0.15267175572519084,MMLU-Pro,discovery,validation
10,0.03,3.0,360,40,0.1111111111111111,MMLU-Pro,discovery,validation
10,0.05,5.0,593,40,0.06745362563237774,MMLU-Pro,discovery,validation
11,0.0025,0.25,41,15,0.36585365853658536,MMLU-Pro,discovery,validation
11,0.005,0.5,89,27,0.30337078651685395,MMLU-Pro,discovery,validation
11,0.01,1.0,150,30,0.2,MMLU-Pro,discovery,validation
11,0.02,2.0,262,31,0.1183206106870229,MMLU-Pro,discovery,validation
11,0.03,3.0,360,31,0.08611111111111111,MMLU-Pro,discovery,validation
11,0.05,5.0,593,31,0.05227655986509275,MMLU-Pro,discovery,validation
12,0.0025,0.25,41,16,0.3902439024390244,MMLU-Pro,discovery,validation
12,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
12,0.01,1.0,150,30,0.2,MMLU-Pro,discovery,validation
12,0.02,2.0,262,30,0.11450381679389313,MMLU-Pro,discovery,validation
12,0.03,3.0,360,30,0.08333333333333333,MMLU-Pro,discovery,validation
12,0.05,5.0,593,30,0.050590219224283306,MMLU-Pro,discovery,validation
13,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
13,0.005,0.5,89,19,0.21348314606741572,MMLU-Pro,discovery,validation
13,0.01,1.0,150,24,0.16,MMLU-Pro,discovery,validation
13,0.02,2.0,262,24,0.0916030534351145,MMLU-Pro,discovery,validation
13,0.03,3.0,360,24,0.06666666666666667,MMLU-Pro,discovery,validation
13,0.05,5.0,593,24,0.04047217537942664,MMLU-Pro,discovery,validation
14,0.0025,0.25,41,10,0.24390243902439024,MMLU-Pro,discovery,validation
14,0.005,0.5,89,21,0.23595505617977527,MMLU-Pro,discovery,validation
14,0.01,1.0,150,27,0.18,MMLU-Pro,discovery,validation
14,0.02,2.0,262,28,0.10687022900763359,MMLU-Pro,discovery,validation
14,0.03,3.0,360,28,0.07777777777777778,MMLU-Pro,discovery,validation
14,0.05,5.0,593,28,0.047217537942664416,MMLU-Pro,discovery,validation
15,0.0025,0.25,41,15,0.36585365853658536,MMLU-Pro,discovery,validation
15,0.005,0.5,89,23,0.25842696629213485,MMLU-Pro,discovery,validation
15,0.01,1.0,150,28,0.18666666666666668,MMLU-Pro,discovery,validation
15,0.02,2.0,262,28,0.10687022900763359,MMLU-Pro,discovery,validation
15,0.03,3.0,360,28,0.07777777777777778,MMLU-Pro,discovery,validation
15,0.05,5.0,593,28,0.047217537942664416,MMLU-Pro,discovery,validation
16,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
16,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
16,0.01,1.0,150,28,0.18666666666666668,MMLU-Pro,discovery,validation
16,0.02,2.0,262,28,0.10687022900763359,MMLU-Pro,discovery,validation
16,0.03,3.0,360,28,0.07777777777777778,MMLU-Pro,discovery,validation
16,0.05,5.0,593,28,0.047217537942664416,MMLU-Pro,discovery,validation
17,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
17,0.005,0.5,89,21,0.23595505617977527,MMLU-Pro,discovery,validation
17,0.01,1.0,150,26,0.17333333333333334,MMLU-Pro,discovery,validation
17,0.02,2.0,262,26,0.09923664122137404,MMLU-Pro,discovery,validation
17,0.03,3.0,360,26,0.07222222222222222,MMLU-Pro,discovery,validation
17,0.05,5.0,593,26,0.04384485666104553,MMLU-Pro,discovery,validation
18,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
18,0.005,0.5,89,23,0.25842696629213485,MMLU-Pro,discovery,validation
18,0.01,1.0,150,28,0.18666666666666668,MMLU-Pro,discovery,validation
18,0.02,2.0,262,28,0.10687022900763359,MMLU-Pro,discovery,validation
18,0.03,3.0,360,28,0.07777777777777778,MMLU-Pro,discovery,validation
18,0.05,5.0,593,28,0.047217537942664416,MMLU-Pro,discovery,validation
19,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
19,0.005,0.5,89,21,0.23595505617977527,MMLU-Pro,discovery,validation
19,0.01,1.0,150,24,0.16,MMLU-Pro,discovery,validation
19,0.02,2.0,262,24,0.0916030534351145,MMLU-Pro,discovery,validation
