gap,gap_points,eligible_pairs,flips,flip_rate,benchmark,audit_half,target_half
0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
0.005,0.5,89,38,0.42696629213483145,MMLU-Pro,discovery,validation
0.01,1.0,150,65,0.43333333333333335,MMLU-Pro,discovery,validation
0.02,2.0,262,110,0.4198473282442748,MMLU-Pro,discovery,validation
0.03,3.0,360,134,0.37222222222222223,MMLU-Pro,discovery,validation
0.05,5.0,593,162,0.27318718381112983,MMLU-Pro,discovery,validation
0.0025,0.25,48,22,0.4583333333333333,MMLU-Pro,validation,discovery
0.005,0.5,88,43,0.48863636363636365,MMLU-Pro,validation,discovery
0.01,1.0,158,80,0.5063291139240507,MMLU-Pro,validation,discovery
0.02,2.0,328,126,0.38414634146341464,MMLU-Pro,validation,discovery
0.03,3.0,464,139,0.2995689655172414,MMLU-Pro,validation,discovery
0.05,5.0,706,144,0.20396600566572237,MMLU-Pro,validation,discovery
0.0025,0.25,278,136,0.4892086330935252,BBH,discovery,validation
0.005,0.5,523,254,0.48565965583174,BBH,discovery,validation
0.01,1.0,1074,477,0.4441340782122905,BBH,discovery,validation
0.02,2.0,2098,762,0.36320305052430885,BBH,discovery,validation
0.03,3.0,3081,923,0.29957805907172996,BBH,discovery,validation
0.05,5.0,4935,1012,0.20506585612968592,BBH,discovery,validation
0.0025,0.25,280,138,0.4928571428571429,BBH,validation,discovery
0.005,0.5,576,258,0.4479166666666667,BBH,validation,discovery
0.01,1.0,1152,461,0.4001736111111111,BBH,validation,discovery
0.02,2.0,2229,705,0.3162853297442799,BBH,validation,discovery
0.03,3.0,3304,797,0.2412227602905569,BBH,validation,discovery
0.05,5.0,5378,849,0.15786537746374116,BBH,validation,discovery
0.0025,0.25,463,223,0.4816414686825054,MMLU,discovery,validation
0.005,0.5,909,421,0.46314631463146316,MMLU,discovery,validation
0.01,1.0,1879,749,0.39861628525811604,MMLU,discovery,validation
0.02,2.0,3930,1243,0.3162849872773537,MMLU,discovery,validation
0.03,3.0,5817,1483,0.2549424101770672,MMLU,discovery,validation
0.05,5.0,9463,1542,0.16295043855014266,MMLU,discovery,validation
0.0025,0.25,366,175,0.4781420765027322,MMLU,validation,discovery
0.005,0.5,679,314,0.46244477172312226,MMLU,validation,discovery
0.01,1.0,1356,567,0.41814159292035397,MMLU,validation,discovery
0.02,2.0,2902,920,0.31702274293590627,MMLU,validation,discovery
0.03,3.0,4714,1060,0.22486211285532456,MMLU,validation,discovery
0.05,5.0,7989,1132,0.1416948303917887,MMLU,validation,discovery
0.0025,0.25,607,252,0.41515650741350907,HellaSwag,discovery,validation
0.005,0.5,1180,452,0.38305084745762713,HellaSwag,discovery,validation
0.01,1.0,2265,657,0.2900662251655629,HellaSwag,discovery,validation
0.02,2.0,4399,760,0.17276653784951126,HellaSwag,discovery,validation
0.03,3.0,6966,772,0.11082400229687052,HellaSwag,discovery,validation
0.05,5.0,11770,773,0.06567544604927783,HellaSwag,discovery,validation
0.0025,0.25,562,257,0.45729537366548045,HellaSwag,validation,discovery
0.005,0.5,1167,470,0.4027420736932305,HellaSwag,validation,discovery
0.01,1.0,2268,745,0.32848324514991184,HellaSwag,validation,discovery
0.02,2.0,4617,953,0.20641108945202513,HellaSwag,validation,discovery
0.03,3.0,7110,976,0.13727144866385374,HellaSwag,validation,discovery
0.05,5.0,12007,979,0.08153577080036645,HellaSwag,validation,discovery
0.0025,0.25,718,316,0.4401114206128134,WinoGrande,discovery,validation
0.005,0.5,1430,570,0.3986013986013986,WinoGrande,discovery,validation
0.01,1.0,2802,966,0.34475374732334046,WinoGrande,discovery,validation
0.02,2.0,5808,1384,0.23829201101928374,WinoGrande,discovery,validation
0.03,3.0,8739,1516,0.17347522599839799,WinoGrande,discovery,validation
0.05,5.0,14128,1579,0.1117638731596829,WinoGrande,discovery,validation
0.0025,0.25,682,328,0.4809384164222874,WinoGrande,validation,discovery
0.005,0.5,1360,560,0.4117647058823529,WinoGrande,validation,discovery
0.01,1.0,2772,919,0.3315295815295815,WinoGrande,validation,discovery
0.02,2.0,5880,1255,0.21343537414965985,WinoGrande,validation,discovery
0.03,3.0,8893,1375,0.15461599010457663,WinoGrande,validation,discovery
0.05,5.0,14119,1423,0.10078617465826192,WinoGrande,validation,discovery
