benchmark,audit_half,target_half,family,direct_family_score_shift_points,sum_source_contributions_points,absolute_decomposition_error_points
MMLU-Pro,discovery,validation,gemma,0.026242053038409707,0.026242053038378406,3.130091671965651e-14
MMLU-Pro,discovery,validation,llama,1.6767903153007544,1.6767903153007426,1.1796119636642288e-14
MMLU-Pro,discovery,validation,mistral,0.22209514141199332,0.22209514141198033,1.3010426069826053e-14
MMLU-Pro,discovery,validation,phi,-4.84785881064466,-4.84785881064471,4.9960036108132044e-14
MMLU-Pro,discovery,validation,qwen,-0.8359152358767769,-0.8359152358768067,2.983724378680108e-14
MMLU-Pro,validation,discovery,gemma,-0.017897684022018877,-0.017897684022037764,1.8886801844697487e-14
MMLU-Pro,validation,discovery,llama,1.3218374536669668,1.3218374536669584,8.500145032286355e-15
MMLU-Pro,validation,discovery,mistral,1.4364536244339323,1.436453624433933,5.204170427930421e-16
MMLU-Pro,validation,discovery,phi,-2.7111293019729494,-2.711129301972998,4.85722573273506e-14
MMLU-Pro,validation,discovery,qwen,-0.776966370368124,-0.7769663703681485,2.445960101127298e-14
BBH,discovery,validation,gemma,0.5868216264631725,0.5868216264631816,9.020562075079397e-15
BBH,discovery,validation,llama,0.9146484232291107,0.9146484232291228,1.214306433183765e-14
BBH,discovery,validation,mistral,0.8903124707277922,0.8903124707278024,1.0234868508263162e-14
BBH,discovery,validation,phi,-1.5305102535509731,-1.5305102535509585,1.474514954580286e-14
BBH,discovery,validation,qwen,-0.7344214211575512,-0.7344214211575372,1.3964523981613297e-14
BBH,validation,discovery,gemma,0.6933047713728031,0.6933047713728151,1.1969591984239969e-14
BBH,validation,discovery,llama,0.6283032587158203,0.628303258715829,8.673617379884035e-15
BBH,validation,discovery,mistral,0.7698633715540092,0.7698633715540231,1.3791051634015616e-14
BBH,validation,discovery,phi,-1.866360766725304,-1.8663607667252873,1.6653345369377348e-14
BBH,validation,discovery,qwen,-0.5205131717529631,-0.5205131717529521,1.0928757898653885e-14
MMLU,discovery,validation,gemma,1.5943729808295708,1.594372980829635,6.418476861114186e-14
MMLU,discovery,validation,llama,-0.007222110417986658,-0.007222110417946106,4.055187175638908e-14
MMLU,discovery,validation,mistral,-1.8238614153675696,-1.823861415367492,7.771561172376096e-14
MMLU,discovery,validation,phi,0.2570725181670027,0.25707251816703686,3.41740524767431e-14
MMLU,discovery,validation,qwen,1.2138968824726228,1.2138968824727063,8.344019919448442e-14
MMLU,validation,discovery,gemma,2.4785195940102347,2.4785195940103,6.522560269672795e-14
MMLU,validation,discovery,llama,0.560970603711836,0.5609706037118599,2.3852447794681098e-14
MMLU,validation,discovery,mistral,-1.6205184806334416,-1.6205184806333743,6.730727086790012e-14
MMLU,validation,discovery,phi,1.0033307332160493,1.0033307332161545,1.0529771499179219e-13
MMLU,validation,discovery,qwen,0.7868059858276645,0.7868059858277003,3.590877595271991e-14
HellaSwag,discovery,validation,gemma,-1.2032964072128776,-1.2032964072128545,2.3071822230491534e-14
HellaSwag,discovery,validation,llama,-1.7797889191827743,-1.7797889191827538,2.0469737016526324e-14
HellaSwag,discovery,validation,mistral,-2.560662284258679,-2.5606622842586293,4.9960036108132044e-14
HellaSwag,discovery,validation,phi,-1.4025993296308596,-1.4025993296308468,1.2836953722228372e-14
HellaSwag,discovery,validation,qwen,0.655338587242735,0.6553385872427412,6.2450045135165055e-15
HellaSwag,validation,discovery,gemma,0.49805074072575284,0.4980507407257718,1.8995222061946038e-14
HellaSwag,validation,discovery,llama,-1.0899907672658666,-1.0899907672658389,2.7582103268031233e-14
HellaSwag,validation,discovery,mistral,-2.4733918037360576,-2.4733918037360048,5.30825383648903e-14
HellaSwag,validation,discovery,phi,-1.0271927790047757,-1.0271927790047561,1.942890293094024e-14
HellaSwag,validation,discovery,qwen,0.893019488001742,0.8930194880017733,3.122502256758253e-14
WinoGrande,discovery,validation,gemma,1.6845420715256891,1.6845420715256538,3.5388358909926865e-14
WinoGrande,discovery,validation,llama,0.2315284285614714,0.23152842856142994,4.145989107584569e-14
WinoGrande,discovery,validation,mistral,-0.1954739469342342,-0.19547394693427814,4.393187202911264e-14
WinoGrande,discovery,validation,phi,-0.46965696901877585,-0.4696569690188215,4.5623227418190027e-14
WinoGrande,discovery,validation,qwen,-0.00592306297997217,-0.005923062980006071,3.3900969054548313e-14
WinoGrande,validation,discovery,gemma,1.3420246443535093,1.3420246443534738,3.5388358909926865e-14
WinoGrande,validation,discovery,llama,0.03617132960759755,0.036171329607556535,4.102078919598906e-14
WinoGrande,validation,discovery,mistral,0.06061842161589996,0.060618421615856136,4.382345181186409e-14
WinoGrande,validation,discovery,phi,-1.56765319364099,-1.5676531936410325,4.232725281383409e-14
WinoGrande,validation,discovery,qwen,1.7933678821553394,1.7933678821553074,3.191891195797325e-14
