benchmark,variant,mean_kendall_tau_b,close_flips,close_pairs,cross_flips,cross_pairs,representatives,n_families,family_shift_range_points,close_flip_rate,all_cross_family_flip_rate,random_ci_low,random_median,random_ci_high,random_replicates,one_sided_randomization_p,excess_close_flip_rate,positive_excess,significant_positive_excess
MMLU-Pro,owner_cap_1,0.9122168379030937,168,349,354,7463,204,5,4.369366342987074,0.4813753581661891,0.047434007771673586,0.11740687679083095,0.16905444126074498,0.22657593123209174,200,0.004975124378109453,0.3123209169054441,True,True
MMLU-Pro,owner_cap_3,0.9253224328270553,146,316,318,7459,204,5,5.162753365743926,0.4620253164556962,0.042633060732001606,0.12974683544303797,0.18037974683544303,0.23425632911392408,200,0.004975124378109453,0.2816455696202532,True,True
MMLU-Pro,owner_cap_5_baseline,0.9235867362470676,145,308,313,7470,204,5,5.336116026176148,0.4707792207792208,0.04190093708165998,0.13636363636363635,0.18506493506493507,0.24025974025974026,1000,0.000999000999000999,0.2857142857142857,True,True
MMLU-Pro,lexicographic_checkpoint,0.9221969044284885,136,312,325,7471,204,5,5.523253374970807,0.4358974358974359,0.04350153928523625,0.13141025641025642,0.1778846153846154,0.23397435897435898,200,0.004975124378109453,0.2580128205128205,True,True
MMLU-Pro,strict_lineage,0.9153170605708382,119,260,258,5554,178,5,5.520287414210942,0.4576923076923077,0.04645300684191574,0.12307692307692308,0.17692307692307693,0.23461538461538461,200,0.004975124378109453,0.28076923076923077,True,True
MMLU-Pro,omit_gemma,0.9096500123287451,129,274,297,5722,185,4,6.265682482074345,0.4708029197080292,0.05190492834673191,0.1386861313868613,0.18248175182481752,0.24826642335766425,200,0.004975124378109453,0.28832116788321166,True,True
MMLU-Pro,omit_llama,0.8966210558787238,67,132,163,2588,126,4,5.391254730456325,0.5075757575757576,0.06298299845440494,0.1134469696969697,0.17424242424242425,0.25776515151515156,200,0.004975124378109453,0.3333333333333333,True,True
MMLU-Pro,omit_mistral,0.9108713216937816,107,243,297,5882,187,4,5.64692499808469,0.4403292181069959,0.05049302958177491,0.102880658436214,0.1646090534979424,0.24279835390946503,200,0.004975124378109453,0.27572016460905346,True,True
MMLU-Pro,omit_phi,0.923411872142648,84,219,224,5173,178,4,2.757502969067067,0.3835616438356164,0.04330175913396482,0.11860730593607305,0.1735159817351598,0.22408675799086764,200,0.004975124378109453,0.2100456621004566,True,True
MMLU-Pro,omit_qwen,0.91527268239597,48,111,147,3028,140,4,6.5749895906085705,0.43243243243243246,0.04854689564068692,0.0990990990990991,0.18018018018018017,0.27927927927927926,200,0.004975124378109453,0.2522522522522523,True,True
BBH,owner_cap_1,0.926994085085792,841,2046,1695,44286,497,5,2.477619116759509,0.41104594330400784,0.038273946619699226,0.22234848484848485,0.2470674486803519,0.2717619745845552,200,0.004975124378109453,0.16397849462365593,True,True
BBH,owner_cap_3,0.9183740493309908,882,2176,1898,44285,497,5,2.4221080282429446,0.4053308823529412,0.04285875578638365,0.2256204044117647,0.2536764705882353,0.27987132352941174,200,0.004975124378109453,0.1516544117647059,True,True
BBH,owner_cap_5_baseline,0.9152997490872221,938,2226,1871,44379,497,5,2.5406914075296987,0.42138364779874216,0.04215957998152279,0.22371967654986524,0.252470799640611,0.2857142857142857,1000,0.000999000999000999,0.16891284815813118,True,True
BBH,lexicographic_checkpoint,0.930836390760954,832,2060,1516,44377,497,5,2.5221607087886544,0.40388349514563104,0.034161840593100026,0.2262135922330097,0.2529126213592233,0.284004854368932,200,0.004975124378109453,0.15097087378640772,True,True
BBH,strict_lineage,0.9285611946700434,675,1510,1179,32607,430,5,2.692623721428572,0.4470198675496689,0.036157880209770905,0.21986754966887417,0.2556291390728477,0.2941225165562914,200,0.004975124378109453,0.1913907284768212,True,True
BBH,omit_gemma,0.8786995682193723,828,1789,2175,31612,439,4,3.416866522497817,0.46282839575181667,0.0688029862077692,0.22186975964225825,0.2515371716042482,0.2884572386808273,200,0.004975124378109453,0.21129122414756846,True,True
BBH,omit_llama,0.9275617636317758,246,598,545,14056,280,4,3.1873032954123346,0.411371237458194,0.03877347751849744,0.20898829431438126,0.2508361204013378,0.29264214046822745,200,0.004975124378109453,0.1605351170568562,True,True
