benchmark,family,n_owner_family_representatives,mean_percentile_shift,mean_percentile_shift_ci_low,mean_percentile_shift_ci_high,mean_score_shift_points,mean_score_shift_ci_low,mean_score_shift_ci_high
MMLU-Pro,gemma,19,-0.0021290339250187,-0.0150738557088597,0.0115026947130263,0.0006874684244773,-0.3736160998156498,0.3594292421628539
MMLU-Pro,llama,78,0.0219780219780219,0.0141180992277205,0.0297878758062058,1.4902125290573536,1.1132712388325228,1.813092648154646
MMLU-Pro,mistral,17,-0.003032140691328,-0.0118475392734413,0.0062640303001287,0.7935579569517293,0.1056025159869332,1.4127434001245958
MMLU-Pro,phi,26,-0.0484970356104376,-0.0598823677671882,-0.0364743393061691,-3.7794940563088057,-4.421987293263752,-3.059245159517607
MMLU-Pro,qwen,64,-0.00564632425135,-0.0157924752184612,0.0039522627075884,-0.8055197270988776,-1.016421864762047,-0.5929224497266552
BBH,gemma,58,0.0104478121354217,0.0053302135606997,0.0153687593041406,0.6455709477926239,0.4311565773034482,0.8558371812238976
BBH,llama,217,0.0166213833811271,0.0115412021134823,0.0216766491671778,0.7694964965173046,0.6341836071782184,0.9006425985084012
BBH,mistral,65,0.0098107000649373,-0.0001677234678706,0.0194683202529752,0.8310144526730066,0.6006959386285461,1.0597311614340956
BBH,phi,47,-0.0341988799886383,-0.0480291831506144,-0.0208829251466963,-1.723445654736227,-2.0952241429293954,-1.30994918764125
BBH,qwen,110,-0.029483285839218,-0.0394333701014922,-0.0203762229064583,-0.6196888146587265,-0.7686799859164972,-0.4616404067647705
MMLU,gemma,45,0.0419400565831739,0.0258933632311468,0.0603444584501572,2.02662243616234,1.6035291819080488,2.452000264747893
MMLU,llama,321,0.0084667321946694,0.0052469255116658,0.0119567036279021,0.2759892112666601,0.1178837776838899,0.4372446567708776
MMLU,mistral,245,-0.0250890878571084,-0.0292196730569686,-0.0211447995103287,-1.7226049335815958,-1.8549323233793191,-1.583417658739208
MMLU,phi,34,0.028301226139099,0.0189511819937911,0.0386938135186489,0.6082528546606716,0.144628896225805,1.0420434869740325
MMLU,qwen,28,0.0206950448403743,0.005380066856353,0.0375691791855014,0.9850981878413948,0.4685292775812224,1.466164250777948
HellaSwag,gemma,45,0.0227555958325189,0.0143830217973377,0.0331309729874915,-0.4093344048415167,-0.9497108161122932,0.1631661163262746
HellaSwag,llama,321,0.0022899911469286,-0.0005905922193085,0.0051366527803374,-1.433815391274294,-1.652664091014624,-1.201761148893649
HellaSwag,mistral,245,-0.0103103888818174,-0.0142511685536775,-0.0064162221593773,-2.516492734932944,-2.6986232807617654,-2.3190918443448627
HellaSwag,phi,34,0.0112757641038184,0.0031023147603823,0.020923273031511,-1.2038546851817564,-1.704700120415825,-0.6557271076834852
HellaSwag,qwen,28,0.0136992973531435,0.0042298833068063,0.0260948831862293,0.7826676412207745,-0.197549273941203,1.7771195586835404
WinoGrande,gemma,45,0.0341037015977935,0.0177101965226198,0.0506121061424493,1.5170891071304011,1.1975155263624022,1.8305703265133724
WinoGrande,llama,321,0.0048571428096966,-0.001496203697455,0.011543218743535,0.1335455845378773,0.0301789723906615,0.2531712403219279
WinoGrande,mistral,245,-0.0081951762918781,-0.0136644615722459,-0.0030412563590218,-0.0669051251723301,-0.1751423222754275,0.0415628346590408
WinoGrande,phi,34,-0.0420294425984825,-0.0604803394928088,-0.0248944984771452,-1.0509490879364187,-1.6153675314280576,-0.4793552581684273
WinoGrande,qwen,28,0.0122503509301871,4.0128589407936065e-05,0.0269117708293511,0.8937224095876837,0.2185608688268012,1.544139209156202
