pair,family,left_benchmark,right_benchmark,left_shift_points,left_ci_low,left_ci_high,right_shift_points,right_ci_low,right_ci_high,right_minus_left_points,difference_ci_low,difference_ci_high,n_common_models,n_common_owners,replicates
MMLU-Pro vs BBH,gemma,MMLU-Pro,BBH,-0.27867514063942456,-0.772505167017433,0.19977263059991482,0.82450564887325,0.25053172124583334,1.384685820869484,1.1031807895126744,0.3760290681057644,1.942226459111259,11,11,2000
MMLU-Pro vs BBH,llama,MMLU-Pro,BBH,1.6306757166056687,1.2275708565203804,2.0163478919826994,0.6877078853176084,0.40762649583799065,0.9567614026523708,-0.9429678312880603,-1.306359200790046,-0.5958864187231058,48,48,2000
MMLU-Pro vs BBH,mistral,MMLU-Pro,BBH,0.7185239080042327,-0.013721420308063866,1.3888494740656459,0.4436743615054505,-0.017354452264085562,0.8994497997543471,-0.27484954649878224,-0.8701279241870272,0.31108709570332455,15,15,2000
MMLU-Pro vs BBH,phi,MMLU-Pro,BBH,-3.6694802603782732,-4.410893039348278,-2.870924353740824,-1.8440288624501537,-2.389859061030257,-1.1720892930948716,1.8254513979281195,1.1301465929265675,2.4993516310957737,21,21,2000
MMLU-Pro vs BBH,qwen,MMLU-Pro,BBH,-0.6702962880413695,-0.935366675608752,-0.3958349964582954,-0.5551798130669066,-0.7594462272809053,-0.33070741082826116,0.11511647497446298,-0.1660130657366656,0.4070213645696632,42,42,2000
MMLU vs HellaSwag,gemma,MMLU,HellaSwag,2.0397614482173334,1.6114965500317961,2.4861977938698603,-0.5074068980680319,-1.1058620188760082,0.15433136036504216,-2.5471683462853654,-3.0679418275661496,-1.9102439045013648,38,38,2000
MMLU vs HellaSwag,llama,MMLU,HellaSwag,0.3147123578498872,0.12904835728733705,0.5168861068834041,-1.4564257854664946,-1.7056457226862716,-1.1969317561010149,-1.7711381433163818,-2.0383414871221683,-1.4887525474785874,239,239,2000
MMLU vs HellaSwag,mistral,MMLU,HellaSwag,-1.6472315554153687,-1.808071013900324,-1.478297674251046,-2.4341274175965837,-2.6459756364440814,-2.1957369649104628,-0.786895862181215,-0.9567503857581756,-0.5952293408682955,176,176,2000
MMLU vs HellaSwag,phi,MMLU,HellaSwag,0.3947109763276005,-0.16190836237379772,0.938449908861208,-1.2360164986370676,-1.877770707465774,-0.5067015872771925,-1.630727474964668,-2.196133966549027,-0.926086067249473,23,23,2000
MMLU vs HellaSwag,qwen,MMLU,HellaSwag,0.7689121612769134,0.20987013877310481,1.3547769193445267,0.40821503506924495,-0.6328175378907871,1.5021988577162675,-0.3606971262076685,-1.0312177674846432,0.4255554644145527,20,20,2000
HellaSwag vs WinoGrande,gemma,HellaSwag,WinoGrande,-0.5339316510782354,-1.1168530571055213,0.05084808946572487,1.5179882709080839,1.1883178658382878,1.85746012892505,2.051919921986319,1.483920191568371,2.643883121764024,40,40,2000
HellaSwag vs WinoGrande,llama,HellaSwag,WinoGrande,-1.482685793486758,-1.7326466934412768,-1.2181396554382242,0.14314376872539722,0.02212699469098141,0.26725866701293277,1.6258295622121552,1.3704081346107235,1.8798866389828188,251,251,2000
HellaSwag vs WinoGrande,mistral,HellaSwag,WinoGrande,-2.3802094739735935,-2.6003157314382244,-2.135126807853559,-0.03965710796059976,-0.15572311950446333,0.07807072840112099,2.340552366012994,2.074847296906231,2.5872799387973866,183,183,2000
HellaSwag vs WinoGrande,phi,HellaSwag,WinoGrande,-1.417597047813218,-1.8854883604505832,-0.7376457192865324,-1.1213889264801518,-1.7473445528990963,-0.39355790419254505,0.2962081213330663,-0.17509590893209465,0.7294117948853567,22,22,2000
HellaSwag vs WinoGrande,qwen,HellaSwag,WinoGrande,0.6547550951896408,-0.5411747807783379,1.9022898455743518,0.7186271313133604,-0.027023725078507383,1.479490259955701,0.06387203612371961,-1.3107480862500243,1.385406426614141,22,22,2000
